,gerbilID,date_x,tt_name,folder_cellname_py,cell_name,nSpikes_x,mfr,peak,valley,peak_valley,spike_ratio,spike_width_ms,asymmetry,latency,isolation_distance,session,folder,gerbil,date_y,cell_id,folder_cell_id_matlab,nSpikes_y,IsolationDistance,IsoDistPCA,IsoDistPC1,IsoDistPeak,Notes
12,395,2018-03-01,000395_2018-03-01_TT1,000395_2018-03-01_TT1_SS_13,TT1_SS_13,2244,0.7898254710971042,33.165099195606885,-3.4429707231293922,36.608069918736284,9.63269857998165,0.46875,-0.9435743698993384,0.21875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT1_SS_13,000395_2018-03-01_TT1_SS_13,2244, 20.199187, 5.419100, 0.523214, 0.796664, 
13,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_02,TT2_SS_02,280,0.10037529606231298,50.63970142927096,-27.81232467021935,78.4520260994903,1.8207647879033468,0.21875,-0.9260472981236042,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_02,000395_2018-03-01_TT2_SS_02,280, 20.735994, 3.672455, 0.195424, 0.668394, 
14,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_03,TT2_SS_03,1151,0.4066805854363125,50.66399975212075,-23.469890189276327,74.1338899413971,2.15868073278288,0.28125,-0.6587359871761961,0.375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_03,000395_2018-03-01_TT2_SS_03,1151, 22.728646, 4.344278, 0.327267, 1.056681, 
15,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_04,TT2_SS_04,227,0.08021561391624288,37.50090974113819,-14.823082275533993,52.32399201667218,2.5298995879578112,0.1875,-0.9775167028703984,0.25,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_04,000395_2018-03-01_TT2_SS_04,227, 22.825387, 6.065457, 0.165977, 0.180050, 
16,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_05,TT2_SS_05,62669,22.033034257748774,37.05622841890531,-13.214168318807392,50.27039673771271,2.804280036766606,0.21875,-0.9529698434875796,0.46875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_05,000395_2018-03-01_TT2_SS_05,62669, NaN, NaN, NaN, NaN, 
17,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_06,TT2_SS_06,361,0.12862827035595825,35.70652982322709,-12.975193891072655,48.68172371429974,2.7519072256634494,0.21875,-0.9771561515136976,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_06,000395_2018-03-01_TT2_SS_06,361, 23.511553, 7.880948, 0.259034, 0.273492, 
18,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_07,TT2_SS_07,3508,1.233495666238858,28.549340061112126,-6.893988285874259,35.44332834698639,4.1411935845045695,0.3125,-0.9705968788114198,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_07,000395_2018-03-01_TT2_SS_07,3508, 25.707871, 6.589098, 0.692925, 3.744469, 
19,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_08,TT2_SS_08,2184,0.7697556519238252,25.918930322416024,-4.7515007335266555,30.67043105594268,5.4548934696635305,0.3125,-0.9407215279328884,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_08,000395_2018-03-01_TT2_SS_08,2184, 25.627697, 7.315262, 0.566507, 2.554433, 
20,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_09,TT2_SS_09,965,0.3402331919514577,27.832148938573823,-7.440632520236137,35.27278145880996,3.7405622254397457,0.15625,-0.9417747899667696,0.59375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_09,000395_2018-03-01_TT2_SS_09,965, 19.476303, 4.589907, 0.337639, 1.252958, 
21,395,2018-03-01,000395_2018-03-01_TT2,000395_2018-03-01_TT2_SS_10,TT2_SS_10,2922,1.0280131833367576,29.496402012574077,-5.914166583845866,35.41056859641996,4.987414810590802,0.21875,-0.9867368235147648,0.5,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT2_SS_10,000395_2018-03-01_TT2_SS_10,2922, 22.699620, 6.071236, 0.594132, 2.327720, 
